Date,Open,High,Low,Close,Volume,Adj Close
2014-09-01,1.13,1.16,1.13,1.16,1470000,1.16
2014-08-29,1.15,1.16,1.14,1.15,2090000,1.15
2014-08-28,1.16,1.17,1.13,1.15,2110000,1.15
2014-08-27,1.16,1.19,1.16,1.18,4682000,1.18
2014-08-26,1.17,1.18,1.16,1.16,6758000,1.16
2014-08-25,1.20,1.23,1.16,1.18,3522000,1.18
2014-08-22,1.19,1.23,1.17,1.20,22370000,1.20
2014-08-21,1.16,1.19,1.15,1.18,9574000,1.18
2014-08-20,1.12,1.15,1.11,1.14,5308000,1.14
2014-08-19,1.15,1.15,1.11,1.11,20108000,1.11
2014-08-18,1.10,1.16,1.08,1.14,23734000,1.14
2014-08-15,1.17,1.18,1.07,1.08,83230000,1.08
2014-08-14,1.25,1.32,1.24,1.31,33038000,1.31
2014-08-13,1.25,1.25,1.21,1.23,7668000,1.23
2014-08-12,1.25,1.26,1.21,1.24,16658000,1.24
2014-08-11,1.20,1.27,1.17,1.24,32180000,1.24
2014-08-08,1.18,1.21,1.16,1.17,5596000,1.17
2014-08-07,1.17,1.21,1.15,1.20,8894000,1.20
2014-08-06,1.20,1.20,1.14,1.18,4774000,1.18
2014-08-05,1.18,1.20,1.16,1.18,3448000,1.18
2014-08-04,1.20,1.21,1.18,1.18,2888000,1.18
2014-08-01,1.18,1.21,1.17,1.19,4312000,1.19
2014-07-31,1.14,1.23,1.14,1.23,10290000,1.23
2014-07-30,1.21,1.21,1.12,1.15,14428000,1.15
2014-07-29,1.20,1.22,1.20,1.21,2236000,1.21
2014-07-28,1.23,1.23,1.19,1.22,3556000,1.22
2014-07-25,1.23,1.23,1.20,1.23,5526000,1.23
2014-07-24,1.23,1.24,1.21,1.24,3472000,1.24
2014-07-23,1.21,1.24,1.21,1.23,3550000,1.23
2014-07-22,1.22,1.23,1.18,1.23,8318700,1.23
2014-07-21,1.22,1.25,1.19,1.21,4290000,1.21
2014-07-18,1.24,1.26,1.21,1.22,4532000,1.22
2014-07-17,1.25,1.31,1.25,1.26,9186000,1.26
2014-07-16,1.22,1.27,1.21,1.26,6556000,1.26
2014-07-15,1.20,1.23,1.19,1.22,3514000,1.22
2014-07-14,1.20,1.29,1.17,1.19,12502000,1.19
2014-07-11,1.27,1.28,1.18,1.19,15290000,1.19
2014-07-10,1.25,1.28,1.23,1.26,9898000,1.26
2014-07-09,1.33,1.33,1.22,1.25,16960000,1.25
2014-07-08,1.45,1.45,1.33,1.33,15730000,1.33
2014-07-07,1.49,1.50,1.44,1.46,3250000,1.46
