Date,Open,High,Low,Close,Volume,Adj Close
2014-09-01,2.98,3.11,2.88,3.10,740000,3.06
2014-08-29,2.84,2.88,2.82,2.91,332000,2.88
2014-08-28,2.76,2.90,2.76,2.84,20630000,2.81
2014-08-27,2.80,2.80,2.74,2.76,1964000,2.73
2014-08-26,2.76,2.80,2.68,2.76,1126000,2.73
2014-08-25,2.75,2.80,2.75,2.78,232000,2.75
2014-08-22,2.76,2.76,2.70,2.72,440000,2.69
2014-08-21,2.78,2.78,2.75,2.76,654000,2.73
2014-08-20,2.80,2.80,2.65,2.70,1365000,2.67
2014-08-19,2.60,2.82,2.55,2.70,9208000,2.67
2014-08-18,2.65,2.67,2.60,2.66,2584000,2.63
2014-08-15,2.63,2.64,2.56,2.64,1316000,2.61
2014-08-14,2.63,2.70,2.60,2.64,1786000,2.61
2014-08-13,2.60,2.66,2.60,2.62,1142000,2.59
2014-08-12,2.65,2.67,2.55,2.59,1362000,2.56
2014-08-11,2.69,2.69,2.64,2.65,3570000,2.62
2014-08-08,2.74,2.79,2.68,2.69,2106000,2.66
2014-08-07,2.68,2.90,2.66,2.73,3280000,2.70
2014-08-06,2.51,2.71,2.51,2.71,10142000,2.68
2014-08-05,2.45,2.54,2.45,2.51,7740000,2.48
2014-08-04,2.45,2.45,2.43,2.43,8010000,2.40
2014-08-01,2.39,2.47,2.39,2.44,2656000,2.41
2014-07-31,2.48,2.49,2.40,2.45,1562000,2.42
2014-07-30,2.47,2.50,2.44,2.48,5334000,2.45
2014-07-29,2.40,2.53,2.40,2.45,6596000,2.42
2014-07-28,2.40,2.42,2.36,2.39,982000,2.36
2014-07-25,2.39,2.38,2.34,2.38,278000,2.35
2014-07-24,2.33,2.40,2.30,2.36,2912000,2.33
2014-07-23,2.32,2.34,2.29,2.32,4748000,2.29
2014-07-22,2.30,2.33,2.29,2.29,4002000,2.26
2014-07-21,2.28,2.38,2.28,2.31,402000,2.28
2014-07-18,2.27,2.28,2.27,2.28,528000,2.25
2014-07-17,2.32,2.32,2.20,2.27,808000,2.24
2014-07-16,2.36,2.36,2.32,2.32,6000,2.29
2014-07-15,2.33,2.33,2.30,2.32,826000,2.29
2014-07-14,2.30,2.33,2.30,2.31,572000,2.28
2014-07-11,2.30,2.30,2.29,2.30,2810000,2.27
2014-07-10,2.28,2.32,2.28,2.32,5660000,2.29
2014-07-09,2.36,2.36,2.26,2.27,156000,2.24
2014-07-08,2.30,2.36,2.25,2.32,118000,2.29
2014-07-07,2.25,2.35,2.25,2.32,576000,2.29
2014-07-04,2.29,2.29,2.23,2.25,2362000,2.22
2014-07-03,2.34,2.36,2.25,2.30,1220000,2.27
2014-07-02,2.30,2.34,2.28,2.34,1252000,2.31
2014-07-01,2.30,2.30,2.30,2.30,000,2.27
2014-06-30,2.31,2.32,2.26,2.30,416000,2.27
2014-06-27,2.24,2.36,2.23,2.31,1776000,2.28
2014-06-26,2.25,2.28,2.20,2.25,448000,2.22
2014-06-25,2.24,2.28,2.24,2.25,1760000,2.22
2014-06-24,2.27,2.40,2.23,2.25,876000,2.22
2014-06-23,2.27,2.27,2.24,2.26,732000,2.23
2014-06-20,2.28,2.29,2.21,2.25,2614000,2.22
2014-06-19,2.35,2.35,2.29,2.30,1628000,2.27
2014-06-18,2.39,2.42,2.32,2.36,1434000,2.33
2014-06-17,2.40,2.41,2.37,2.40,1436000,2.37
2014-06-16,2.40,2.41,2.37,2.39,1634000,2.36
2014-06-13,2.35,2.43,2.33,2.40,2200000,2.37
2014-06-12,2.34,2.39,2.34,2.35,1024000,2.32
2014-06-11,2.35,2.40,2.30,2.36,1638000,2.33
2014-06-10,2.47,2.48,2.35,2.35,4073000,2.32
2014-06-09,2.44,2.51,2.42,2.46,5396000,2.43
2014-06-06,2.39,2.45,2.38,2.42,2500000,2.39
2014-06-05,2.42,2.44,2.34,2.39,3608000,2.36
2014-06-04,2.35,2.46,2.33,2.40,9874000,2.37
2014-06-03,2.22,2.44,2.22,2.35,7852000,2.32
2014-06-02,2.20,2.20,2.20,2.20,000,2.18
2014-05-30,2.19,2.21,2.17,2.20,2898000,2.18
2014-05-29,2.20,2.20,2.17,2.19,1102000,2.17
2014-05-28,2.19,2.20,2.12,2.19,4820000,2.17
2014-05-27,2.13,2.21,2.10,2.17,5364000,2.15
2014-05-26,2.12,2.13,2.02,2.12,1574000,2.10
2014-05-23,2.09,2.14,2.03,2.12,32650000,2.10
