Date,Open,High,Low,Close,Volume,Adj Close
2014-07-07,0.22,0.22,0.22,0.22,000,0.22
2014-07-04,0.22,0.22,0.22,0.22,000,0.22
2014-07-03,0.22,0.22,0.22,0.22,000,0.22
2014-07-02,0.22,0.22,0.22,0.22,000,0.22
2014-07-01,0.22,0.22,0.22,0.22,000,0.22
2014-06-30,0.22,0.22,0.22,0.22,000,0.22
2014-06-27,0.22,0.22,0.22,0.22,000,0.22
2014-06-26,0.22,0.22,0.22,0.22,000,0.22
2014-06-25,0.22,0.22,0.22,0.22,000,0.22
2014-06-24,0.22,0.22,0.22,0.22,000,0.22
2014-06-23,0.22,0.22,0.22,0.22,000,0.22
2014-06-20,0.22,0.22,0.22,0.22,000,0.22
2014-06-19,0.22,0.22,0.22,0.22,000,0.22
2014-06-18,0.22,0.22,0.22,0.22,000,0.22
2014-06-17,0.22,0.22,0.22,0.22,000,0.22
2014-06-16,0.22,0.22,0.22,0.22,000,0.22
2014-06-13,0.22,0.22,0.22,0.22,000,0.22
2014-06-12,0.22,0.22,0.22,0.22,000,0.22
2014-06-11,0.22,0.22,0.22,0.22,000,0.22
2014-06-10,0.22,0.22,0.22,0.22,000,0.22
2014-06-09,0.22,0.22,0.22,0.22,000,0.22
2014-06-06,0.22,0.22,0.22,0.22,000,0.22
2014-06-05,0.22,0.22,0.22,0.22,000,0.22
2014-06-04,0.22,0.22,0.22,0.22,000,0.22
2014-06-03,0.22,0.22,0.22,0.22,000,0.22
2014-06-02,0.22,0.22,0.22,0.22,000,0.22
2014-05-30,0.22,0.22,0.22,0.22,000,0.22
2014-05-29,0.22,0.22,0.22,0.22,000,0.22
2014-05-28,0.22,0.22,0.22,0.22,000,0.22
2014-05-27,0.22,0.22,0.22,0.22,000,0.22
2014-05-26,0.22,0.22,0.22,0.22,000,0.22
2014-05-23,0.22,0.22,0.22,0.22,000,0.22
2014-05-22,0.22,0.22,0.22,0.22,000,0.22
2014-05-21,0.22,0.22,0.22,0.22,000,0.22
2014-05-20,0.22,0.22,0.22,0.22,000,0.22
2014-05-19,0.22,0.22,0.22,0.22,000,0.22
2014-05-16,0.22,0.22,0.22,0.22,000,0.22
2014-05-15,0.22,0.22,0.22,0.22,000,0.22
2014-05-14,0.22,0.22,0.22,0.22,000,0.22
2014-05-13,0.22,0.22,0.22,0.22,000,0.22
2014-05-12,0.22,0.22,0.22,0.22,000,0.22
2014-05-09,0.22,0.22,0.22,0.22,000,0.22
2014-05-08,0.22,0.22,0.22,0.22,000,0.22
2014-05-07,0.22,0.22,0.22,0.22,000,0.22
2014-05-06,0.22,0.22,0.22,0.22,000,0.22
2014-05-05,0.22,0.22,0.22,0.22,000,0.22
2014-05-02,0.22,0.22,0.22,0.22,000,0.22
2014-05-01,0.22,0.22,0.22,0.22,000,0.22
2014-04-30,0.22,0.22,0.22,0.22,000,0.22
2014-04-29,0.22,0.22,0.22,0.22,000,0.22
2014-04-28,0.22,0.22,0.22,0.22,000,0.22
2014-04-25,0.22,0.22,0.22,0.22,000,0.22
2014-04-24,0.22,0.22,0.22,0.22,000,0.22
2014-04-23,0.22,0.22,0.22,0.22,000,0.22
2014-04-22,0.22,0.22,0.22,0.22,000,0.22
2014-04-21,0.22,0.22,0.22,0.22,000,0.22
2014-04-18,0.22,0.22,0.22,0.22,000,0.22
2014-04-17,0.22,0.22,0.22,0.22,000,0.22
2014-04-16,0.22,0.22,0.22,0.22,000,0.22
2014-04-15,0.22,0.22,0.22,0.22,000,0.22
2014-04-14,0.22,0.22,0.22,0.22,000,0.22
2014-04-11,0.22,0.22,0.22,0.22,000,0.22
2014-04-10,0.22,0.22,0.22,0.22,000,0.22
2014-04-09,0.22,0.22,0.22,0.22,000,0.22
2014-04-08,0.22,0.22,0.22,0.22,000,0.22
2014-04-07,0.22,0.22,0.22,0.22,000,0.22
2014-04-04,0.22,0.22,0.22,0.22,000,0.22
2014-04-03,0.22,0.22,0.22,0.22,000,0.22
2014-04-02,0.22,0.22,0.22,0.22,000,0.22
2014-04-01,0.22,0.22,0.22,0.22,000,0.22
2014-03-31,0.28,0.28,0.21,0.22,35992000,0.22
2014-03-28,0.30,0.30,0.26,0.27,9048000,0.27
2014-03-27,0.31,0.31,0.28,0.31,12888000,0.31
2014-03-26,0.38,0.38,0.29,0.30,36716000,0.30
2014-03-25,0.34,0.36,0.30,0.36,2964000,0.36
2014-03-24,0.38,0.38,0.34,0.34,4036000,0.34
