Date,Open,High,Low,Close,Volume,Adj Close
2014-09-01,1.71,1.73,1.68,1.69,588000,1.69
2014-08-29,1.67,1.68,1.67,1.68,100000,1.68
2014-08-28,1.69,1.69,1.60,1.67,67000,1.67
2014-08-27,1.69,1.69,1.69,1.69,50000,1.69
2014-08-26,1.68,1.69,1.68,1.69,79000,1.69
2014-08-25,1.65,1.69,1.65,1.69,54000,1.69
2014-08-22,1.61,1.73,1.57,1.68,85000,1.68
2014-08-21,1.62,1.62,1.62,1.62,000,1.62
2014-08-20,1.64,1.64,1.58,1.58,17000,1.58
2014-08-19,1.66,1.67,1.64,1.64,222000,1.64
2014-08-18,1.69,1.72,1.69,1.70,31000,1.70
2014-08-15,1.63,1.69,1.63,1.69,416000,1.69
2014-08-14,1.62,1.70,1.62,1.70,386000,1.70
2014-08-13,1.57,1.68,1.57,1.62,315000,1.62
2014-08-12,1.51,1.58,1.51,1.58,110000,1.58
2014-08-11,1.50,1.51,1.50,1.51,11000,1.51
2014-08-08,1.45,1.50,1.45,1.50,20000,1.50
2014-08-07,1.47,1.53,1.47,1.53,9000,1.53
2014-08-06,1.45,1.51,1.45,1.51,48000,1.51
2014-08-05,1.44,1.44,1.44,1.44,000,1.44
2014-08-04,1.46,1.46,1.41,1.44,38000,1.44
2014-08-01,1.50,1.54,1.48,1.48,120000,1.48
2014-07-31,1.45,1.50,1.50,1.50,229000,1.50
2014-07-30,1.48,1.49,1.46,1.46,130000,1.46
2014-07-29,1.45,1.46,1.45,1.46,47000,1.46
2014-07-28,1.43,1.48,1.41,1.48,283000,1.48
2014-07-25,1.40,1.47,1.39,1.44,308000,1.44
2014-07-24,1.36,1.40,1.36,1.40,478000,1.40
2014-07-23,1.45,1.45,1.31,1.36,1648000,1.36
2014-07-22,1.49,1.49,1.49,1.49,000,1.49
2014-07-21,1.49,1.49,1.49,1.49,000,1.49
2014-07-18,1.51,1.51,1.49,1.49,142000,1.49
2014-07-17,1.54,1.54,1.54,1.54,000,1.54
2014-07-16,1.55,1.55,1.54,1.54,56000,1.54
2014-07-15,1.54,1.54,1.54,1.54,4000,1.54
2014-07-14,1.51,1.51,1.50,1.51,160000,1.51
2014-07-11,1.54,1.55,1.52,1.52,86000,1.52
2014-07-10,1.51,1.54,1.50,1.54,100000,1.54
2014-07-09,1.56,1.56,1.51,1.51,131000,1.51
2014-07-08,1.56,1.56,1.53,1.56,404000,1.56
2014-07-07,1.51,1.54,1.50,1.53,460000,1.53
2014-07-04,1.52,1.52,1.50,1.50,41000,1.50
2014-07-03,1.49,1.51,1.49,1.50,534000,1.50
2014-07-02,1.50,1.50,1.50,1.50,000,1.50
2014-07-01,1.50,1.50,1.50,1.50,000,1.50
2014-06-30,1.53,1.53,1.50,1.50,74000,1.50
2014-06-27,1.50,1.58,1.50,1.50,151000,1.50
2014-06-26,1.56,1.56,1.51,1.51,41000,1.51
2014-06-25,1.55,1.55,1.53,1.53,179000,1.53
2014-06-24,1.53,1.62,1.52,1.53,974000,1.53
2014-06-23,1.56,1.58,1.53,1.55,168000,1.55
2014-06-20,1.55,1.55,1.50,1.52,103000,1.52
2014-06-19,1.58,1.58,1.53,1.55,258000,1.55
2014-06-18,1.56,1.58,1.51,1.55,443000,1.55
2014-06-17,1.61,1.61,1.51,1.51,216000,1.51
2014-06-16,1.57,1.60,1.56,1.60,242000,1.56
2014-06-13,1.64,1.64,1.56,1.56,413000,1.52
2014-06-12,1.65,1.74,1.64,1.64,202000,1.60
2014-06-11,1.78,1.78,1.65,1.65,192000,1.61
2014-06-10,1.73,1.73,1.68,1.68,335000,1.64
2014-06-09,1.71,1.71,1.62,1.68,393000,1.64
2014-06-06,1.84,1.84,1.70,1.70,2524000,1.66
2014-06-05,1.75,1.81,1.70,1.79,634000,1.75
2014-06-04,1.80,1.88,1.76,1.88,4000,1.83
2014-06-03,1.90,1.90,1.75,1.75,6000,1.71
2014-06-02,1.87,1.87,1.87,1.87,000,1.82
