Date,Open,High,Low,Close,Volume,Adj Close
2014-09-01,4.48,4.51,4.43,4.50,2962000,4.50
2014-08-29,4.42,4.48,4.41,4.44,2328000,4.44
2014-08-28,4.52,4.52,4.35,4.40,2870000,4.40
2014-08-27,4.48,4.50,4.47,4.50,3133000,4.50
2014-08-26,4.53,4.53,4.47,4.48,2673200,4.48
2014-08-25,4.50,4.57,4.48,4.55,4001800,4.55
2014-08-22,4.42,4.54,4.38,4.54,5875500,4.54
2014-08-21,4.44,4.48,4.38,4.46,9465200,4.46
2014-08-20,4.42,4.50,4.40,4.45,8681000,4.45
2014-08-19,4.51,4.52,4.32,4.36,12226000,4.36
2014-08-18,4.78,4.78,4.66,4.66,3492000,4.66
2014-08-15,4.77,4.78,4.74,4.74,2432200,4.74
2014-08-14,4.70,4.77,4.68,4.75,2993000,4.75
2014-08-13,4.67,4.71,4.62,4.70,2813000,4.70
2014-08-12,4.61,4.68,4.60,4.67,2691700,4.67
2014-08-11,4.56,4.67,4.50,4.63,3525200,4.63
2014-08-08,4.58,4.58,4.45,4.54,2658900,4.54
2014-08-07,4.51,4.58,4.51,4.56,1291000,4.56
2014-08-06,4.56,4.57,4.50,4.54,938000,4.54
2014-08-05,4.60,4.60,4.54,4.56,1860000,4.56
2014-08-04,4.58,4.63,4.55,4.61,3944700,4.61
2014-08-01,4.50,4.56,4.50,4.56,3155100,4.56
2014-07-31,4.50,4.60,4.50,4.59,3096000,4.59
2014-07-30,4.60,4.63,4.48,4.51,8406000,4.51
2014-07-29,4.68,4.69,4.52,4.57,5253000,4.57
2014-07-28,4.60,4.68,4.59,4.64,4401000,4.64
2014-07-25,4.59,4.62,4.52,4.59,3268000,4.59
2014-07-24,4.62,4.64,4.58,4.61,4958500,4.61
2014-07-23,4.55,4.64,4.51,4.58,5198500,4.58
2014-07-22,4.45,4.56,4.45,4.52,3888600,4.52
2014-07-21,4.53,4.53,4.44,4.47,2442000,4.47
2014-07-18,4.50,4.52,4.42,4.51,4351000,4.51
2014-07-17,4.36,4.51,4.36,4.49,6955600,4.49
2014-07-16,4.35,4.40,4.33,4.36,3215800,4.36
2014-07-15,4.24,4.36,4.24,4.32,4028000,4.32
2014-07-14,4.22,4.25,4.21,4.22,1833000,4.22
2014-07-11,4.21,4.23,4.16,4.19,2382000,4.19
2014-07-10,4.21,4.26,4.16,4.21,1459500,4.21
2014-07-09,4.26,4.28,4.18,4.22,1749400,4.22
2014-07-08,4.33,4.36,4.26,4.26,1873000,4.26
2014-07-07,4.36,4.38,4.29,4.36,2005000,4.36
2014-07-04,4.35,4.37,4.26,4.33,3189600,4.33
2014-07-03,4.28,4.34,4.24,4.32,4406000,4.32
2014-07-02,4.21,4.23,4.18,4.23,1823000,4.23
2014-07-01,4.15,4.15,4.15,4.15,000,4.15
2014-06-30,4.20,4.22,4.12,4.15,1435500,4.15
2014-06-27,4.17,4.21,4.15,4.20,1413200,4.20
2014-06-26,4.16,4.25,4.09,4.20,2998000,4.20
2014-06-25,4.10,4.17,4.08,4.16,2216000,4.16
2014-06-24,4.10,4.13,4.06,4.10,1927400,4.10
2014-06-23,4.20,4.23,4.07,4.10,3018000,4.10
2014-06-20,4.09,4.20,4.02,4.18,4331900,4.18
2014-06-19,4.13,4.14,4.05,4.08,4170200,4.08
2014-06-18,4.17,4.18,4.06,4.12,2861900,4.12
2014-06-17,4.20,4.20,4.10,4.17,4315200,4.17
2014-06-16,4.30,4.36,4.15,4.18,9740800,4.18
2014-06-13,4.20,4.20,4.13,4.15,4296700,4.15
2014-06-12,4.26,4.26,4.08,4.21,7060600,4.21
2014-06-11,4.31,4.31,4.17,4.25,4138500,4.25
2014-06-10,4.30,4.32,4.22,4.32,3860500,4.32
2014-06-09,4.38,4.38,4.25,4.28,2925000,4.28
2014-06-06,4.30,4.38,4.30,4.34,3025000,4.34
2014-06-05,4.22,4.36,4.22,4.29,4034000,4.29
2014-06-04,4.33,4.34,4.26,4.30,4649200,4.19
2014-06-03,4.32,4.37,4.23,4.37,7392200,4.26
2014-06-02,4.28,4.28,4.28,4.28,000,4.17
2014-05-30,4.30,4.35,4.26,4.28,1857000,4.17
2014-05-29,4.37,4.37,4.28,4.30,2951600,4.19
2014-05-28,4.29,4.42,4.29,4.34,4548000,4.23
2014-05-27,4.30,4.33,4.24,4.29,3486100,4.18
2014-05-26,4.26,4.38,4.24,4.30,4435400,4.19
2014-05-23,4.08,4.26,4.08,4.19,8512600,4.08
2014-05-22,4.00,4.09,3.98,4.05,7965400,3.95
2014-05-21,4.00,4.02,3.89,3.99,3327000,3.89
2014-05-20,3.99,4.07,3.99,4.01,4367400,3.91
2014-05-19,3.98,4.02,3.90,4.00,2341600,3.90
2014-05-16,4.04,4.04,3.98,3.98,2991000,3.88
2014-05-15,4.08,4.11,4.02,4.05,4268100,3.95
2014-05-14,4.06,4.11,4.02,4.06,9733300,3.96
2014-05-13,3.94,4.10,3.94,4.06,3846400,3.96
2014-05-12,3.98,4.05,3.90,3.94,4517300,3.84
2014-05-09,3.96,3.98,3.86,3.93,5506700,3.83
2014-05-08,4.18,4.18,3.95,4.00,8575200,3.90
2014-05-07,4.17,4.24,4.09,4.10,3353000,4.00
2014-05-06,4.23,4.23,4.23,4.23,000,4.12
2014-05-05,4.25,4.36,4.13,4.23,2521000,4.12
2014-05-02,4.20,4.31,4.12,4.24,5950000,4.13
2014-05-01,4.12,4.12,4.12,4.12,000,4.02
2014-04-30,4.04,4.18,4.04,4.12,6781300,4.02
2014-04-29,4.20,4.26,4.04,4.05,8660800,3.95
2014-04-28,4.26,4.29,4.15,4.18,2130300,4.08
2014-04-25,4.31,4.38,4.26,4.26,2973000,4.15
2014-04-24,4.35,4.42,4.27,4.34,2487000,4.23
2014-04-23,4.40,4.47,4.27,4.35,5975700,4.24
2014-04-22,4.38,4.46,4.33,4.35,3557700,4.24
2014-04-21,4.49,4.49,4.49,4.49,000,4.38
2014-04-18,4.49,4.49,4.49,4.49,000,4.38
2014-04-17,4.51,4.61,4.48,4.49,2765000,4.38
2014-04-16,4.52,4.58,4.46,4.53,3030000,4.42
2014-04-15,4.75,4.77,4.50,4.51,7262000,4.40
2014-04-14,4.81,4.81,4.71,4.73,4176000,4.61
2014-04-11,4.72,4.88,4.66,4.82,5749500,4.70
2014-04-10,4.74,4.76,4.64,4.75,3820800,4.63
2014-04-09,4.67,4.75,4.64,4.74,6271000,4.62
2014-04-08,4.50,4.63,4.50,4.63,2707300,4.51
2014-04-07,4.63,4.68,4.55,4.57,2894000,4.46
2014-04-04,4.70,4.75,4.58,4.69,5460600,4.57
2014-04-03,4.50,4.76,4.50,4.70,10956700,4.58
2014-04-02,4.47,4.54,4.35,4.47,3020000,4.36
2014-04-01,4.29,4.58,4.29,4.46,11177200,4.35
2014-03-31,4.13,4.32,4.13,4.30,5280300,4.19
2014-03-28,4.08,4.18,4.07,4.12,2921000,4.02
2014-03-27,4.10,4.17,4.03,4.08,6242000,3.98
2014-03-26,4.19,4.25,4.14,4.14,3985000,4.04
2014-03-25,4.24,4.33,4.13,4.15,5376200,4.05
2014-03-24,4.22,4.38,4.13,4.23,7178000,4.12
2014-03-21,4.17,4.25,4.16,4.22,6023600,4.11
2014-03-20,4.28,4.30,4.09,4.13,15414800,4.03
2014-03-19,4.28,4.37,4.25,4.30,4399000,4.19
2014-03-18,4.42,4.45,4.25,4.28,6375900,4.17
2014-03-17,4.25,4.40,4.25,4.29,1569200,4.18
2014-03-14,4.26,4.32,4.26,4.31,1747000,4.20
2014-03-13,4.29,4.44,4.29,4.31,2273000,4.20
